fiscal_year,ticker,company,sector,revenue,gross_profit,operating_income,net_income,rd_expense,interest_expense,total_assets,total_equity,long_term_debt,current_assets,current_liabilities,cash,operating_cashflow,capex,shares_outstanding,ebitda,ebitda_is_estimated,gross_margin,operating_margin,net_margin,ebitda_margin,rd_intensity,roe,roa,roic,debt_to_equity,debt_to_assets,current_ratio,interest_coverage,fcf,fcf_margin,cfo_to_net_income,capex_intensity,eps,fcf_per_share,macro_regime
2006,F,Ford,Automotive,,,,,,,,-461000000.0,,,,28896000000.0,,,,,True,,,,,,,,,,,,,,,,,,,Pre-Crisis Buildup
2007,F,Ford,Automotive,154379000000.0,11792000000.0,,-2795000000.0,,11038000000.0,,7771000000.0,,,,34892000000.0,17074000000.0,6022000000.0,1979000000.0,,True,0.07638344593500411,,-0.018104794045822294,,,-0.3596705700682023,,,,,,,11052000000.0,0.071590047869205,-6.1087656529517,0.03900789615167866,-1.4123294593228903,5.584638706417382,Pre-Crisis Buildup
2008,F,Ford,Automotive,127635000000.0,1015000000.0,-16148000000.0,-14766000000.0,7100000000.0,9737000000.0,218298000000.0,-15722000000.0,152577000000.0,,,21804000000.0,-263000000.0,6492000000.0,2272000000.0,-16148000000.0,True,0.007952364163434795,-0.12651702119324637,-0.11568927018451051,-0.12651702119324637,0.055627374936341914,0.9391934868337362,-0.06764148091141467,-0.11799349676665083,-9.704681338252131,0.6989390649479152,,-1.658416350005135,-6755000000.0,-0.052924354604928114,0.01781118786401192,0.050863791279821366,-6.499119718309859,-2.973151408450704,Financial Crisis
2009,F,Ford,Automotive,103868000000.0,5002000000.0,2599000000.0,2717000000.0,4700000000.0,6790000000.0,192040000000.0,-7820000000.0,131635000000.0,,,20894000000.0,15477000000.0,4059000000.0,3312000000.0,2599000000.0,True,0.04815727654330496,0.025022143489813995,0.02615820079331459,0.025022143489813995,0.045249740054684795,-0.34744245524296674,0.014148094147052698,0.020990994629083715,-16.83312020460358,0.6854561549677151,,0.3827687776141384,11418000000.0,0.10992798552008318,5.696356275303644,0.039078445719567145,0.8203502415458938,3.447463768115942,Financial Crisis
2010,F,Ford,Automotive,119280000000.0,14829000000.0,7149000000.0,6561000000.0,5000000000.0,6152000000.0,164687000000.0,-673000000.0,103988000000.0,,,14805000000.0,11477000000.0,4092000000.0,4178000000.0,7149000000.0,True,0.12432092555331992,0.05993460764587525,0.05500503018108652,0.05993460764587525,0.04191817572099262,-5.0,0.039839210138019394,0.06919614770362484,-20.0,0.6314281030075234,,1.1620611183355007,7385000000.0,0.0619131455399061,1.7492760249961896,0.03430583501006036,1.5703685974150312,1.7675921493537579,Post-Crisis Recovery
2011,F,Ford,Automotive,128168000000.0,14557000000.0,8681000000.0,20213000000.0,5300000000.0,4431000000.0,177386000000.0,14778000000.0,99488000000.0,,,17148000000.0,9784000000.0,4293000000.0,4111000000.0,8681000000.0,True,0.11357749204169527,0.06773141501778915,0.15770707196804196,0.06773141501778915,0.0413519755321141,1.3677764244146704,0.11394924063905833,0.07597185514501252,6.732169441061036,0.5608559863799849,,1.9591514330850823,5491000000.0,0.04284220710317708,0.48404492158511847,0.03349510018101242,4.916808562393578,1.335684748236439,Post-Crisis Recovery
2012,F,Ford,Automotive,126567000000.0,13528000000.0,7638000000.0,5613000000.0,5500000000.0,3828000000.0,189571000000.0,15882000000.0,105058000000.0,,,15659000000.0,9045000000.0,5488000000.0,4015000000.0,7638000000.0,True,0.10688410091097995,0.060347483941311716,0.04434805280997416,0.060347483941311716,0.0434552450480773,0.3534189648658859,0.02960895917624531,0.06315528361170829,6.614909960962096,0.5541881405911242,,1.9952978056426331,3557000000.0,0.028103692115638356,1.6114377338321753,0.04336043360433604,1.3980074719800748,0.8859277708592778,Post-Crisis Recovery
2013,F,Ford,Automotive,139369000000.0,19179000000.0,14371000000.0,11953000000.0,6200000000.0,3689000000.0,202204000000.0,26140000000.0,114688000000.0,,,14468000000.0,10444000000.0,6597000000.0,4087000000.0,14371000000.0,True,0.13761309903924115,0.10311475292209889,0.08576512710861095,0.10311475292209889,0.044486220034584446,0.45726855394032134,0.05911356847540108,0.10204646803192546,4.387452180566182,0.5671895709283694,,3.8956356736242883,3847000000.0,0.027602982011781674,0.8737555425416214,0.04733477315615381,2.9246390995840468,0.9412772204551015,Post-Crisis Recovery
2014,F,Ford,Automotive,135782000000.0,10757000000.0,1234000000.0,1232000000.0,6700000000.0,797000000.0,208615000000.0,24438000000.0,119171000000.0,,,10757000000.0,14507000000.0,7463000000.0,3958000000.0,1234000000.0,True,0.07922257736666126,0.009088097096816957,0.009073367603953397,0.009088097096816957,0.04934380109292837,0.0504132907766593,0.005905615607698392,0.008592776218760662,4.876462885669858,0.5712484720657671,,1.548306148055207,7044000000.0,0.051877273865460816,10.0,0.05496310262037678,0.31126831733198584,1.7796867104598282,Low Rate Bull Market
2015,F,Ford,Automotive,140566000000.0,16120000000.0,2875000000.0,1153000000.0,6700000000.0,773000000.0,224925000000.0,28642000000.0,132854000000.0,102587000000.0,82336000000.0,14272000000.0,16226000000.0,7196000000.0,4002000000.0,2875000000.0,True,0.11467922541724172,0.020453025624973323,0.008202552537597997,0.020453025624973323,0.047664442326024785,0.04025556874519936,0.005126153162165166,0.017802298508941397,4.638433070316319,0.5906591085917529,1.2459555965798679,3.7192755498059507,9030000000.0,0.06424028570209012,10.0,0.05119303387732453,0.28810594702648673,2.2563718140929536,Low Rate Bull Market
